Card#,Title,Artist,Year,URL,Youtube-Title,Hashed Info
1,D'yers Mak'er,Led Zeppelin,1973,https://www.youtube.com/watch?v=SBmBhZB0x3k,D'yer Mak'er (Remaster),b5df16f50beca8aa51bbabfe506fc296f999932c373c4c1e4c9dba744b8530db
2,Don't Forget Me (When I'm Gone),Glass Tiger,1986,https://www.youtube.com/watch?v=JG2IFsz_n5c,Glass Tiger - Don't Forget Me When I'm Gone (Canadian Version),5dd4565035fa8fb714c63a5c1cd506bb258c6fdb15c077c4072040236ffabe97
3,We Are Family,Sister Sledge,1979,https://www.youtube.com/watch?v=uyGY2NfYpeE,Sister Sledge - We Are Family (Official Music Video),952ecbacd4c1b4f2d1fb31ff3b836c6aa619d76f19400b4fb74563457d2de126
4,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,1960,https://www.youtube.com/watch?v=ICkWjdQuK7Q,Brian Hyland - Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,d214787da324bacf083d63dae0def71fbc5aa56314366ba55c0d0d205fe97044
5,Cheap Thrills,Sia,2015,https://www.youtube.com/watch?v=31crA53Dgu0,Sia - Cheap Thrills (Performance Edit),e26a26114d3a7f397cdfa2184f35fad1ab7f7c6cad932170028da29665f73934
6,Get Lucky,Daft Punk (feat. Pharrell Williams & Nile Rodgers),2013,https://www.youtube.com/watch?v=5NV6Rdv1a3I,"Daft Punk - Get Lucky (Official Audio) ft. Pharrell Williams, Nile Rodgers",dec40d5b17e6c85ddce984a2bfc346288481eae954fafe351d328ea13d324f30
7,Fallin',Alicia Keys,2001,https://www.youtube.com/watch?v=Urdlvw0SSEc,Alicia Keys - Fallin' (Official HD Video),77a24b17619093736abc0ba771cc55b41c4e24ce81d4491eba2e8f8854d2b4b8
8,Girl You Know It's True,Milli Vanilli,1989,https://www.youtube.com/watch?v=RdSmokR0Enk,Milli Vanilli - Girl You Know It's True,7f9231d2066463800dee1d5d5914676488033a4371f94ebb2ed4f511f09d1795
9,New Orleans Is Sinking,The Tragically Hip,1989,https://www.youtube.com/watch?v=LAZUsCONjIQ,The Tragically Hip - New Orleans Is Sinking,254ba5c4ad4a79ee8b108bc3c46d86e56802a20eaa971a991ff4e10468491658
10,Waterloo,ABBA,1974,https://www.youtube.com/watch?v=Sj_9CiNkkn4,ABBA - Waterloo (Official Music Video),c646d8b8ee151cfc64a3035caf9e94a1cadfd70ce317c6edf68ff3cec415506d
11,Piece Of My Heart,Erma Franklin,1967,https://www.youtube.com/watch?v=i_6gptd01mY,Erma Franklin - Piece Of My Heart (1967),73afde21aedcde63b2044907f96973bd8268d3ea05a243fa536ef9f86378a5b2
12,Sweet Child O'Mine,Guns N' Roses,1987,https://www.youtube.com/watch?v=1w7OgIMMRc4,Guns N' Roses - Sweet Child O' Mine (Official Music Video),8bbb3d50902f23f1d517b1e11021a6ce06eabef12796645bc49fab8f3c86b9f2
13,Rock You Like a Hurricane,Scorpions,1984,https://www.youtube.com/watch?v=6yP1tcy9a10,Scorpions - Rock You Like A Hurricane (Official Music Video),b3c005ba911fcd90d41451aea445f7bb36fbc31e3327494e5f02573d0fda66b9
14,Every Breath You Take,The Police,1983,https://www.youtube.com/watch?v=OMOGaugKpzs,The Police - Every Breath You Take (Official Music Video),b76d28067187df678c0ec77d5b5d7e7ccb97674c33b0e01390a179add62e12c8
15,Ice Ice Baby,Vanilla Ice,1990,https://www.youtube.com/watch?v=rog8ou-ZepE,Vanilla Ice - Ice Ice Baby (Official Music Video),16415a1a9c3ba4beccefdba33e9bd6b8c78a728e47c0e7360d586c0dd9431e68
16,Call On Me,Eric Prydz,2004,https://www.youtube.com/watch?v=L_fCqg92qks,Eric Prydz - Call On Me,f4af95b548aa7158683ffb4666641576b4d868d855e2e01f5820290aa4e12470
17,White Wedding,Billy Idol,1982,https://www.youtube.com/watch?v=DP8A3ZfwYj0,Billy Idol - White Wedding (Remastered),b858b1a311bc307b2d4fd4b647b7af6aa7e9a22ec8be1941a70c8b266b1cb5d0
18,With Or Without You,U2,1987,https://www.youtube.com/watch?v=ujNeHIo7oTE,U2 - With Or Without You (Official Music Video),0b4b38f35fd86ad9faab7ec0dbd14265ce998044bbe56e4228e7c89073657f12
19,Main Girl,Charlotte Cardin,2017,https://www.youtube.com/watch?v=8Xef2NPzGp0,Charlotte Cardin - Main Girl [Official Music Video],dab3c1752ce80708ea9d2db481244e724fb0afe58af513cfaf2cec2678c389ab
20,Smoke Gets In Your Eyes,The Platters,1958,https://www.youtube.com/watch?v=vfBboBz3yoc,The Platters - Smoke Get In Your Eyes - Lyrics,f3027cb47a1fba899cd1e6f52d3a1ece19f95d33721ac72f351c574f3b4abbd4
21,Feel It Still,Portugal. The Man,2017,https://www.youtube.com/watch?v=pBkHHoOIIn8,Portugal. The Man - Feel It Still (Official Music Video),41f3b97a59fc7399d62a5ccc6e474e731252fc45140ffba9fee0f990df182135
22,Couting Stars,OneRepublic,2013,https://www.youtube.com/watch?v=hT_nvWreIhg,OneRepublic - Counting Stars,4f9e977754083f330a1272b1f6d399f5f484cc6cbe51491dd4dd6496fce3de11
23,Hit The Road Jack,Ray Charles,1961,https://www.youtube.com/watch?v=SrnWp5O0DEs,Hit the Road Jack,5a43bf41828333ecd2e3585fb34bcc3d0a3a2ec269813aa5f0b20790430b8491
24,The Lazy Song,Bruno Mars,2011,https://www.youtube.com/watch?v=fLexgOxsZu0,Bruno Mars - The Lazy Song (Official Music Video),cae29c8ec65468e5bdf3254790312e868a119c5bcaeaa1ff395fbc2e3b2c4a69
25,Informer,Snow,1992,https://www.youtube.com/watch?v=TSffz_bl6zo,Snow - Informer (Official Music Video) [4K Remaster],f343f18882713c1d6ad1d79d11551e1763604c7662d048477e266fe64a27a4f5
26,Cotton Eye Joe,Rednex,1994,https://www.youtube.com/watch?v=mOYZaiDZ7BM,Rednex - Cotton Eye Joe (Official Music Video) [HD] - RednexMusic com,d637f3c9f68734dbef99dd0800b99de1edbd0bf0f66241f49f200b66a41e4678
27,Scars To Your Beautiful,Alessia Cara,2016,https://www.youtube.com/watch?v=MWASeaYuHZo,Alessia Cara - Scars To Your Beautiful (Official Video),2972fdb326c1a2fce335a55526825d257cb2fcfdd7eaea595fe86ca108efde3a
28,Upside Down,Diana Ross,1980,https://www.youtube.com/watch?v=5zyidkj2fpo,Upside Down (Original CHIC Mix),767783e7192375d02ad2973150701eeddc1a4023a08636f487eb2a948aa686ce
29,A Thousand Miles,Vanessa Carlton,2002,https://www.youtube.com/watch?v=Cwkej79U3ek,Vanessa Carlton - A Thousand Miles,8327b4aaa7e8cc9e99452a43a5c80df4036f13d7bcf05fa2789dfd4669047526
30,"Bad, Bad Leroy Brown",Jim Croce,1973,https://www.youtube.com/watch?v=JzYf6qskdfA,"Bad, Bad Leroy Brown",be7afccb3d801d31918604b25f27b9eea009e21683b5b9b1cc196301d42ac1d8
