Card#,Title,Artist,URL,Hashed Info,Youtube-Title,Year
1,"Heute male ich dein Bild, Cindy Lou (The Birds and the Bees)",Drafi Deutscher,https://www.youtube.com/watch?v=1BeptEANAS0,,,1965
2,Aloha Heja He,Achim Reichel,https://www.youtube.com/watch?v=NbPc8VhstGE,,,1991
3,Herz auf rot,G.G. Anderson,https://www.youtube.com/watch?v=I5HtYA54Jcw,,,2003
4,Sternenregen,Thomas Anders,https://www.youtube.com/watch?v=rse26SxPh0U,,,2017
5,Das Lied der Schlümpfe,Vader Abraham,https://www.youtube.com/watch?v=sXdUMoEHxKs,,,1977
6,Jenseits von Eden,Nino de Angelo,https://www.youtube.com/watch?v=7wFRYTXBAVI,,,1983
7,Die Hände Zum Himmel,Die Kolibris,https://www.youtube.com/watch?v=Yeegb5_c_ys,,,1998
8,So wie man tanzt so liebt man,Maite Kelly,https://www.youtube.com/watch?v=YjvRUpJpLpE,,,2011
9,Ich lass' nur noch Sonne in mein Herz,Liane,https://www.youtube.com/watch?v=9QZ0VlgJ4uw,,,2014
10,Schönes Madchen aus Arcadia,Demis Roussos,https://www.youtube.com/watch?v=jzwG72oLHrc,,,1973
11,Ich Will dich immer noch,Matthias Reim,https://www.youtube.com/watch?v=jPf20ebDpNQ,,,2007
12,I steh auf Bergbauernbuam,Melissa Naschenweng,https://www.youtube.com/watch?v=D6EzUpOj4KU,,,2019
13,Welch ein Tag,Mario Jordan,https://www.youtube.com/watch?v=KtPmOFzd2xU,,,1992
14,Mama Laudaaa,"Almklausi, Specktakel",https://www.youtube.com/watch?v=RCpakXJu_o8,,,2018
15,Frankreich Frankreich,Bläck Fööss,https://www.youtube.com/watch?v=m-AF_5rXd4s,,,1985
16,Ich Bin Da,Jan Smit,https://www.youtube.com/watch?v=vCW-0DhwNy0,,,2013
17,Heute fahrt die 18 bis nach Istanbul,BB Jürgen,https://www.youtube.com/watch?v=u2jQSbwkasI,,,2005
18,Der Eiermann,Klaus & Klaus,https://www.youtube.com/watch?v=u58UVnV7RF4,,,1988
19,Zu nah am Feuer,"Stefan Waggershausen, Alice",https://www.youtube.com/watch?v=AJfj7ZiHlmc,,,1984
20,Hier Spricht die Polizei,Sandy Wagner,https://www.youtube.com/watch?v=oYwYtPvKQvA,,,2002
21,Kettenkarussell,Ross Antony,https://www.youtube.com/watch?v=NRbsDcxi5kE,,,2014
22,Schlager ist nicht kriminell,Rebel Tell,https://www.youtube.com/watch?v=vrpufaP9u-I,,,2022
23,Su Mädche wie mir - Zwei Kerle wie wir,Colör,https://www.youtube.com/watch?v=yQ_G9jX9FYU,,,2001
24,Der Kommissar,Falco,https://www.youtube.com/watch?v=8-bgiiTxhzM,,,1982
25,Dein Zug ist abgefahr'n,Nico Gemba,https://www.youtube.com/watch?v=1j1ZnYaKjnQ,,,2007
26,Mein lieber Mann,Hanne Haller,https://www.youtube.com/watch?v=hXtL1onjUFM,,,1989
27,Codo (...düse im Sauseschritt),Döf,https://www.youtube.com/watch?v=xwBMrYJODmM,,,1983
28,"Du bist alles (Maria, Maria) (You Want Love)",Andreas Martin,https://www.youtube.com/watch?v=cufovD-oSbo,,,1987
29,Verliab di,Trenkwalder,https://www.youtube.com/watch?v=2zxqZARI0e0,,,2001
30,1000 Träume weit (Tornero),Anna-Maria Zimmermann,https://www.youtube.com/watch?v=ZgYNi0op4Dw,,,2009
31,Zeit zu gehen,Unheilig,https://www.youtube.com/watch?v=DGrPaVZH4mE,,,2014
32,Ich will dich für immer - Disco Fox,NIC,https://www.youtube.com/watch?v=BfeSuyIl73k,,,2007
33,Steirermen San Very Good,Das Stoakogler Trio,https://www.youtube.com/watch?v=p-gK9kzEVhY,,,1992
34,Irgendwie Wird's Schon Geh'n,Tom Astor,https://www.youtube.com/watch?v=j65700cH93o,,,1996
35,Die Pure Lust am Leben,Geier Sturzflug,https://www.youtube.com/watch?v=wKAwFAdI2jI,,,1984
36,Sind Sie der Graf von Luxemburg?,Dorthe,https://www.youtube.com/watch?v=8swk6Qg1Src,,,1968
37,Weekend,"DJ Herzbeat, Sarah Engels",https://www.youtube.com/watch?v=mrxOdbuMf_I,,,2019
38,Du mußt deinen Weg alleine gehen,Dirk Busch,https://www.youtube.com/watch?v=leNl5BYZhWs,,,1994
39,Nein heißt ja,G.G. Anderson,https://www.youtube.com/watch?v=mgcerTGNrZA,,,1981
40,"Oh, wann kommst du?",Daliah Lavi,https://www.youtube.com/watch?v=xptnAq9W5Zg,,,1970
41,Gold,Jasmin Wagner,https://www.youtube.com/watch?v=cpTuOc55_9s,,,2021
42,Paradies,Francine Jordi,https://www.youtube.com/watch?v=kcYm6S-FgKo,,,2015
43,Das Kann Nur Liebe Sein (En Vän Som Du),Vikinger,https://www.youtube.com/watch?v=oxBiKvgdmPw,,,2003
44,Die Immer Lacht,"Stereoact, Kerstin Ott",https://www.youtube.com/watch?v=SF6nO9SUpAU,,,2015
45,Ich kauf' mir lieber einen Tirolerhut,Billy Mo,https://www.youtube.com/watch?v=NY8jGQrybNA,,,1962
46,Wenn ich nur ein Trucker wär,"Gunter Gabriel, Linda Feller",https://www.youtube.com/watch?v=BZ9UZc_cBBU,,,1995
47,Engel,Nino de Angelo,https://www.youtube.com/watch?v=RNC6Db-36XU,,,2001
48,Hör gut zu,Pur,https://www.youtube.com/watch?v=owMRXfKm-RQ,,,1993
49,Eine Nacht,Ramon Roselly,https://www.youtube.com/watch?v=9HdOqsDD5pQ,,,2020
50,"Erst du, dann du",Stefanie Hertel,https://www.youtube.com/watch?v=SF079N6dt8s,,,2004
51,Wenn i mit dir tanz,Nicki,https://www.youtube.com/watch?v=JSIxu0DJrQo,,,1986
52,Barfuß bis ans Ende der Welt,Fernando Express,https://www.youtube.com/watch?v=9LFEoi3go8o,,,2005
53,Tanz mit mir durch die Nacht,Freddy Breck,https://www.youtube.com/watch?v=e0rKgqdt5qg,,,1993
54,Willst du mich für immer,Michelle,https://www.youtube.com/watch?v=7MHnZL8_j28,,,2007
55,Anita,Costa Cordalis,https://www.youtube.com/watch?v=XvYQbw8NTLs,,,1976
56,Mit dir vielleicht,Nicole,https://www.youtube.com/watch?v=3EpZlbsAKJQ,,,1992
57,Mein Ein und mein Alles,Carrière,https://www.youtube.com/watch?v=L1VAv9C6mKQ,,,1995
58,Flaschenpost,Fantasy,https://www.youtube.com/watch?v=nTrbx19qMBc,,,2013
59,So bist du,Peter Maffay,https://www.youtube.com/watch?v=Hq9JebayPmo,,,1979
60,Lebenslänglich Du,Oliver Haidt,https://www.youtube.com/watch?v=Tk6Boeo-Moo,,,1996
61,Ich küss dir die Angst von deiner Haut,Wolfgang Ziegler,https://www.youtube.com/watch?v=5R7fKOteVZw,,,2003
62,Wer die Sehnsucht kennt,Claudia Jung,https://www.youtube.com/watch?v=vfavz-qunYE,,,1995
63,Du entschuldige i kenn di,Peter Cornelius,https://www.youtube.com/watch?v=fhaP9-YhLig,,,1980
64,Schlittenfahren in Tirol (Der Schnittensong),DJ Zipfelmann,https://www.youtube.com/watch?v=rMKsa8LcE_M,,,2004
65,Weiß' der Geier,Wolfgang Petry,,,,1998
66,Das Trampolin - Live,Mike Krüger,https://www.youtube.com/watch?v=XUVFSuotQ8Q,,,1994
67,Kreuzberger Nächte,Gebrüder Blattschuss,https://www.youtube.com/watch?v=I0GU899OdZ8,,,1978
68,Ibiza,Ibo,https://www.youtube.com/watch?v=3O2QRoQ0Y8E,,,1985
69,Auf der Straße nach Süden,Tony Marshall,https://www.youtube.com/watch?v=lbuzlplYGj8,,,1978
70,Ich liebe das Leben,Vicky Leandros,https://www.youtube.com/watch?v=7_FsW8RPCTc,,,1975
71,Macho Macho,Rainhard Fendrich,https://www.youtube.com/watch?v=3ROwnYnWNwg,,,1988
72,Heidi,Gitti Und Erica,https://www.youtube.com/watch?v=Pu7MjOd0o0Y,,,1977
73,Früh-Stück,Gebrüder Blattschuss,https://www.youtube.com/watch?v=A2daAfNsL5E,,,1979
74,Des geht vorbei,Nicki,https://www.youtube.com/watch?v=gCWH2TOxzGs,,,1992
75,Ich liebe dich,Clowns & Helden,https://www.youtube.com/watch?v=McZEhRabe7Y,,,1986
76,Fang das Licht,"Karel Gott, Darinka",https://www.youtube.com/watch?v=eV11MdBt5OU,,,1986
77,Wo finde ich den Mann?,Lill-Babs,https://www.youtube.com/watch?v=UdqDzPXqD9U,,,1961
