Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
1,Sie war erst siebzehn (und neu in der Stadt),Frank Farian,1979,https://www.youtube.com/watch?v=qw7KJ6fwxyQ,0e6ec9b02d302b8ebf28e0f6cf865743885571b323977b95ca061637c41bea5a,Frank Farian - Sie war erst siebzehn (und neu in der Stadt),DEC739700347
2,Some Nights,fun.,2012,https://www.youtube.com/watch?v=qQkBeOisNM0,b5c5120d35e96d0c9f04b169e3ba750a9d4cae198fea3651da3c7d25f3051653,Fun.: Some Nights [OFFICIAL VIDEO],USAT21104050
3,Daylight in Your Eyes (Radio Version),No Angels,2001,https://www.youtube.com/watch?v=L75D2i7wkdE,6f2b6609f2df4b5239c9bfd44200974ee385ac191e9ff137e5e5cb4073e5165b,No Angels - Daylight In Your Eyes (Official Video),DEN120003772
4,Smooth Operator - Single Version,Sade,1984,https://www.youtube.com/watch?v=4TYv2PhG89A,2db09739d94e3705c9d6ff781ccb9f06942beffdd683eaa7811956d0111a84f6,Sade - Smooth Operator - Official - 1984,GBBBM8400016
5,Stimme,EFF,2015,https://www.youtube.com/watch?v=QRs33vbhyvA,c8cab6f1acbe9b01427d31b688459f97ed3715f66ac452f4fefa192b28dda212,EFF - Stimme (Official Video),DEUM71503772
6,Taschenrechner - 2009 Remaster,Kraftwerk,1981,https://www.youtube.com/watch?v=nsNy_P4_9rw,5b38fdfa882bc5bcffb19a8c638f4a8ca2f277407e2f5cbd59bb9ab29c97ae9f,Taschenrechner (2009 Remaster),DEC610900221
7,Cheri Cheri Lady,Modern Talking,1985,https://www.youtube.com/watch?v=eNvUS-6PTbs,9a131679b838020f3c5c5ee20bb8b79447864167a2c53ed99b20e3a70c39d800,Modern Talking - Cheri Cheri Lady (Official Video),DEC738500001
8,Beggin (original version),Madcon,2007,https://www.youtube.com/watch?v=zrFI2gJSuwA,67d760ab2ec1480227b211691bf8bdb5b2cbeb1788ce32add89403c1be7f8469,Madcon - Beggin,NOBLV0703011
9,Bohemian Like You,The Dandy Warhols,2000,https://www.youtube.com/watch?v=CU3mc0yvRNk,ef513d631807c8a13664281019106646b9f3b8b4f71169ef9fb5753f382db2fe,The Dandy Warhols - Bohemian Like You,USCA20000241
10,An Tagen wie diesen,Fettes Brot,2005,https://www.youtube.com/watch?v=fbChSuSQIo4,b2cbcaee3c7e0135bd452aeb7dfa5a60f9babe2e8ea62f731e2280a747ec6cea,Fettes Brot - An Tagen wie diesen (Official),DEAH90500008
11,If You Tolerate This Your Children Will Be Next,Manic Street Preachers,1998,https://www.youtube.com/watch?v=cX8szNPgrEs,f8e265bb8ea2c68a570c897fdb57a237a30f68529a1c6fbe5f7b8ec79145aa3a,Manic Street Preachers - If You Tolerate This Your Children Will Be Next (Offici,GBBBM9802044
12,abcdefu,GAYLE,2021,https://www.youtube.com/watch?v=NaFd8ucHLuo,3973e299ee35226af278a4e9cddd9c82b4de3a36f6073bbd703757fe3f8e8edd,GAYLE - abcdefu (Official Music Video),USAT22103652
13,Happier,Marshmello,2018,https://www.youtube.com/watch?v=m7Bc3pLyij0,cc001c1797584aa42729d5386181b3511004ea62914099452b0c6ae631bad2d7,Marshmello ft. Bastille - Happier (Official Music Video),USUG11801651
14,Unstoppable,Sia,2016,https://www.youtube.com/watch?v=YaEG2aWJnZ8,b85133143923691bdc9f29bf37cb4877de493f92ed22c0d14c7d918d3e4e993e,Sia - Unstoppable (Official Video - Live from the Nostalgic For The Present Tour,USRC11502934
15,Walkin' On The Sun,Smash Mouth,1997,https://www.youtube.com/watch?v=LQj--Kjn0z8,7f59200856922462181e145d842791ab6319b70e0a1f4894ec21bc284111854c,Smash Mouth - Walkin' On The Sun,USIR19701434
16,Te Felicito,Shakira,2022,https://www.youtube.com/watch?v=4I25nV9hXGA,d8dab58468ec9f99bd477986f2b953fde8dc575ca9a8402747928e2d0b0b30b5,Shakira; Rauw Alejandro - Te Felicito (Official Video),USQX92201764
17,Verpiss dich,Tic Tac Toe,1996,https://www.youtube.com/watch?v=8rhLnlNJJ5g,1374fb5e1be7cec6737fec7ecf087c30cb68a750d9e4bc287593da3dd7363803,Tic Tac Toe - Verpiss Dich (Official HD Video 1996),DEAF71252043
18,Flugzeuge im Bauch - Radio Mix,Oli. P,1998,https://www.youtube.com/watch?v=gTg3TIAmFUk,71f6e8dfa584ec269df0ce59305e708c284d7cb75bd27f55f91e3a8b6ae9f0e2,Oli.P - Flugzeuge im Bauch (Official Video) (VOD),DEC739800523
19,Locked out of Heaven,Bruno Mars,2012,https://www.youtube.com/watch?v=e-fA-gBCkj0,729fc497f9b7dba76ef7804e94cbc1143a410dae0eab39c1b86c27d563bdd9d3,Bruno Mars - Locked Out Of Heaven (Official Music Video),USAT21203287
20,Stronger (What Doesn't Kill You),Kelly Clarkson,2011,https://www.youtube.com/watch?v=Xn676-fLq7I,dbad6fff63a9a6c1452347161cda36ecab14a8b54d6f72afb453587c2c57da0b,Kelly Clarkson - Stronger (What Doesn't Kill You) [Official Video],GBCTA1100364
21,My Immortal,Evanescence,2003,https://www.youtube.com/watch?v=5anLPw0Efmo,c8140a7cf3312d29d76c25a276db8d4aa00a6abdb97cdf8b43deda4efdfcfa0b,Evanescence - My Immortal (Official HD Music Video),USWU30200104
22,Give Me Everything (feat. Nayer),Pitbull,2011,https://www.youtube.com/watch?v=EPo5wWmKEaI,4eaf055ef1c522aae68998a80e0812d57f9d67281037547bbe7f7a285e6a3c5a,Pitbull - Give Me Everything ft. Ne-Yo; Afrojack; Nayer,USJAY1100032
23,Alright,Supergrass,1995,https://www.youtube.com/watch?v=qUE4oDunYkc,0688476381e85636b5cb9da2463a914c5a927efe6675d7dd15875004065d3753,Supergrass - Alright (Official HD Video),GBAYE9500044
