Card#,Artist,Title,URL,Hashed Info,Youtube-Title,Year
1,Kim Wilde,You Came,https://www.youtube.com/watch?v=P6Agwu_5J14,1cf942d346a201e7cfe8caa8f76c9451732c88731f7efe8918257d01c780c80d,Kim Wilde - You Came (Official Music Video),1988
2,La Bouche,Sweet Dreams,https://www.youtube.com/watch?v=b9McVO9hpUE,722168d6d4fdb54b7def3af5548223fb42bb209c54f13a377e4e9bf031d6b28c,La Bouche - Sweet dreams (Official Video),1994
3,Frank Sinatra,Love And Marriage,https://www.youtube.com/watch?v=tKjGdLeK2k4,6bdd0633751a37eb6e8be0661e34a1511337dad1c1df3ee9d8ac33cd8e5f3def,Love And Marriage,1955
4,Sam Cooke,Twistin' the Night Away,https://www.youtube.com/watch?v=QroJjYr_sAQ,7f2eedd5ef0d6a5fccd2cbe35b09a2a0fe077561a6079d9f4b04d2210fcf491b,Twistin' the Night Away - Sam Cooke (1962) Stereo.,1962
5,Gossip,Heavy Cross,https://www.youtube.com/watch?v=5mQVljB7JGw,9bccb067b8711ed5bb2fafaf062bfeed0ec013d66d46346b12290bb4f5539784,Gossip - Heavy Cross (Official Video),2009
6,Harry Chapin,Cat's in the Cradle,https://www.youtube.com/watch?v=5u-KWa3tL-0,dc90643b5eb3081bb3ab69c4d3af0d6332120dc72a9a5e886a10684e97ba568e,Harry Chapin - Cat's In The Cradle (Official Lyric Video),1974
7,Sunrise Avenue,Fairytale Gone Bad,https://www.youtube.com/watch?v=OUyfQLd3bCs,526b545b91591adf5379510f566e3148992161c57702b75aedb2074fa37a8ef0,Sunrise Avenue - Fairytale Gone Bad (Official Video),2006
8,OMD,Maid of Orleans - Live,https://www.youtube.com/watch?v=xy-Q8LZcaiA,6ea94a216437a3140714a670a8f6b7e9a0e888336c98e1b8ec2825112dcfebf6,Orchestral Manoeuvres in the Dark - Maid of Orleans (Joan of Arc)- Official live,1981
9,S.T.S,Fürstenfeld,https://www.youtube.com/watch?v=FpRmP0XUVcA,a5132a55f21b24c7d8f8113df9b2dd96ee44f4ebf9d3f501f147d4197a28c3f0,S.T.S - Fürstenfeld,1984
10,Bee Gees,Secret Love,https://www.youtube.com/watch?v=iVseOSFTGAw,b89bc3e649dd6f0333a82992316cfe4274d4f3e2d2d017ec89b0eb0611ec41a6,Bee Gees - Secret Love,1991
11,The J. Geils Band,Centerfold,https://www.youtube.com/watch?v=BqDjMZKf-wg,4d262fa73979fc78dce6455bcd954719217448ffd19963a70dcbfeaf042b5bd4,The J. Geils Band - Centerfold (Official Music Video),1981
12,Mathou,You Never Walk Alone,https://www.youtube.com/watch?v=8YbUyjt_MQQ,43d61cbcb62b717c3b008d9d8715db7e3a33a7cca840dd5214560c31873263d9,Mathou - You'll Never Walk Alone,1992
13,David Bowie,Ashes To Ashes,https://www.youtube.com/watch?v=HyMm4rJemtI,88d9039d9c5dd31adc7ae4caa0d19a2ce660953b94e93eda3784903a7b0fcdfd,David Bowie - Ashes To Ashes (Official Video),1980
