Card#,Title,Artist,Year,URL,ISRC,Youtube-Title,Hashed Info
1,Bodyguard (I Will Always Love You),Whitney Houston,1992,https://www.youtube.com/watch?v=3JWTaaS7LdU,USAR19200110,Whitney Houston - I Will Always Love You (Official 4K Video),7e70346975820a78466921dee30c7a2d7d9cb80ea91ca93768e16ef68cbdbf0c
2,American Beauty,Thomas Newman,1999,https://www.youtube.com/watch?v=al21Vtlsg4A,USDW10010007,American Beauty Soundtrack (American Beauty),9c570c8ddc6d90c6c58dea1c5d918a86dd4425ad8233ce7d6001ec5be2cb929e
3,Der Zauberer von Oz (Over The Rainbow),Judy Garland,1939,https://www.youtube.com/watch?v=PSZxmZmBfnU,USNLR1500393,Somewhere Over the Rainbow - The Wizard of Oz (1/8) Movie CLIP (1939) HD,a2750d05bc1ce2823d4d854c6081a0952afb0d27210db90ef76ad5a1d3ab704d
4,Die Brücke am Kwai (The Colonel Bogey March),Malcolm Arnold,1957,https://www.youtube.com/watch?v=lR8vj14v2-4,DEB519500060,"Colonel Bogey March, by Malcolm Arnold, The Bridge on the River Kwai (1957)",a35fc4ec3db9dbffe76668bfa99ebdf15b95a1d16368e1f5a79024fbe2611912
5,The Avengers,Alan Silvestri,2012,https://www.youtube.com/watch?v=QtxeJ703w18,USHR11233664,The Avengers,c87a04ee5e02716d30b49fbdde2f8006d9231f8a647477ee8a81790b0c57e8f4
6,Unsere kleine Farm,"David Rose,Daniel Caine Orchestra",1974,https://www.youtube.com/watch?v=roy_fqf-Dk4,GBAJC9801512,"""The Little House"" Theme",ccf04dcb7d941995cb214187825416488f84e6bce834925c413bd4fb7c676d52
7,Avatar - Aufbruch nach Pandora (I See You),Leona Lewis,2009,https://www.youtube.com/watch?v=3YDz-ftqr1g,USAT20904005,Leona Lewis - I See You (Theme from Avatar) [Official Video],8c8338854ee882d88835d8175bb8bd2e941ac35385594e394592b5a2555b8153
8,Das A-Team,Dominik Hause & Mike Post,1983,https://www.youtube.com/watch?v=wyz_2DEah4o,GBAJC9801423,The A-Team Full Theme Tune,174c8650e15bd46e75d26846e1a460fdc756f35d35a02257b436e061f92a0344
9,Willow,James Horner,1988,https://www.youtube.com/watch?v=9H6yUZLQfes,USWD12214295,06 - Willow's Theme - James Horner - Willow,e636a4b45cf7b84f733af9d625b24da98ee7dd375a1c6f3dd06de45825cd6bdd
10,That Thing You Do!,The Wonders,1996,https://www.youtube.com/watch?v=BJn-Jl2ZeQU,USSM19602550,The Wonders - That Thing You Do! (Official Audio),02dfac8d95ae78dc24958dace2409679041bee59f839bf696c39a5f2921f7e7c
11,Beverly Hills Cop (Axel F),Harold Faltermeyer,1984,https://www.youtube.com/watch?v=Qx2gvHjNhQ0,USMC18416586,Harold Faltermeyer - Axel F (1984) Beverly Hills﻿ Cop - Soundtrack,be4e5332ae8eb525f5c914ed85ce8bdf084edfb3d09cb608d696c2b15d422271
12,Das Leben ist schön (La vita è bella),Nicola Piovani,1997,https://www.youtube.com/watch?v=iy1UWQid6JE,IT0681100457,Nicola Piovani - La vita è bella,62893e4f82e7829ef59cd902c3e0296c570bc863d7a60835617d532aa6f74082
13,Cheers (Where Everybody Knows Your Name),Gary Portnoy,1982,https://www.youtube.com/watch?v=xYcX534JqG4,USA560319104,Where Everybody Knows Your Name-Gary Portnay (cheers theme song) [with lyrics],38c15d7dafb193e5a35228122f6818978bc4552f67d63164e2c879087bba0ef9
14,A Star Is Born (Always Remember Us This Way),Lady Gaga,2018,https://www.youtube.com/watch?v=KgKPc0ReaJQ,USUM71813195,Lady Gaga - Always Remember Us This Way - Radio Edit,d50ff4c25b35f96e2aec650d474b97b14bc86f05727b7fdf6572ae97c32035a0
15,Once (Falling Slowly),"Glen Hansard, Markéta Irglová",2007,https://www.youtube.com/watch?v=FkFB8f8bzbY,USLIC0700662,Falling Slowly - Glen Hansard and Marketa Irglova (Once),01db9187584cdd5205b0a86809e6e4d9216c9bdbb30ddde76ea4cc3d5cfab96a
16,Das erstaunliche Leben des Walter Mitty (Stay Alive),José González,2013,https://www.youtube.com/watch?v=bvjNyJ8TBNk,USFM91300095,José González - Stay Alive,e9d301cc350a41d492275245750ce4e7f5ad6f6c8bd589b8d059894e1eeb8502
