Card#,Title,Artist,URL,Hashed Info,Youtube-Title,Year
1,Voyage voyage,Desireless,https://www.youtube.com/watch?v=NlgmH5q9uNk,d37573f6,Desireless - Voyage Voyage (Official HD Video),2001
2,Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,https://www.youtube.com/watch?v=6M6samPEMpM,72c8d834,Backstreet Boys - Everybody (Backstreet's Back) (Official HD Video),1997
3,Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Basement Boy Strip To The Bone Mix,Crystal Waters The Basement Boys,https://www.youtube.com/watch?v=ojncAZyiIIM,7ecc5203,Gypsy Woman (She's Homeless) (La Da Dee La Da Da) (Basement Boy Strip To The Bone Mix),1991
4,Amoureuse,Véronique Sanson,https://www.youtube.com/watch?v=-bMGM8P_Uao,d5f3c164,Amoureuse (Remasterisé en 2008),1984
5,Memories,Maroon 5,https://www.youtube.com/watch?v=SlPhMPnQ58k,5e27d75d,Maroon 5 - Memories (Official Video),2021
6,X,Nicky Jam J Balvin,https://www.youtube.com/watch?v=_I_D_8Z4sJE,e18d71b6,X (EQUIS) - Nicky Jam x J. Balvin | Video Oficial (Prod. Afro Bros \u0026 Jeon),2019
7,Airplanes (feat. Hayley Williams of Paramore),B.o.B Hayley Williams,https://www.youtube.com/watch?v=kn6-c223DUU,c7a2f1ab,B.o.B - Airplanes (feat. Hayley Williams of Paramore) [Official Video],2010
8,I'm Outta Love - Radio Edit,Anastacia,https://www.youtube.com/watch?v=TnOy6HEf7HU,91e199b4,Anastacia - I'm Outta Love (Official 4K Video),1999
9,Bye Bye Bye,*NSYNC,https://www.youtube.com/watch?v=Eo-KmOd3i7s,aabb53cc,*NSYNC - Bye Bye Bye (Official Video),2000
10,The Final Countdown,Europe,https://www.youtube.com/watch?v=9jK-NcRmVcw,22d818ab,Europe - The Final Countdown (Official Video),1986
11,Le Banana Split,Lio,https://www.youtube.com/watch?v=sJZ1G0e5bWU,a1a6cb71,Lio - Le Banana Split (Clip Officiel),2016
