Card#,Artist,Title,URL,Hashed Info,Youtube-Title,Year
1,The Trammps,Disco inferno,https://www.youtube.com/watch?v=pG8TyIEAqps,f15ee3131a2d908968d9b121926bf4e113a6adaf588f9c5c5a39bbb6a7fe1b49,Disco Inferno (Edit),1976
2,Gipsy Kings,Volare (Nel Blu Di Pinto Di Blu),https://www.youtube.com/watch?v=X8TOhb_4jU0,9ce3db1bfeb26833f296d4b2ecce7a8fc32227d71fbe21d0f20bdefb23a08a15,Gipsy Kings - Volare (Nel Blu di Pinto di Blu) (Official HD Video),1989
3,Yazoo,Don't Go,https://www.youtube.com/watch?v=_sQGwDeambg,9dd0727a09d650f14027bda331d36d8e7139cb88448b69f4f246d0448c5e3bd9,Yazoo - Don't Go (Official HD Video),1982
4,Elvis Presley,Can't Help Falling In Love,https://www.youtube.com/watch?v=vGJTaP6anOU,2694bbc5c054fe7217d789e3b4cdd9d1ed73d6940d5e3e1d82f761450c406d6b,Elvis Presley - Can't Help Falling In Love (Official Audio),1961
5,Lukas Graham,7 Years,https://www.youtube.com/watch?v=LHCob76kigA,24ecf1fc202432d33e74a711b7baa1a1a8f5c5a24003f15fbdff90b4f2771cae,Lukas Graham - 7 Years [Official Music Video],2015
6,Kendji Girac,Andalouse,https://www.youtube.com/watch?v=FndmvPkI1Ms,a5aee6716a9106dfe0edf8d76e0c93de0ae73cca545764fe0862763758d8698a,Kendji Girac - Andalouse (Clip Officiel),2014
7,K.Maro,Femme Like U,https://www.youtube.com/watch?v=8qfM7offtiA,8b1a8f2c0857b101c8ac6d09d4a7fc461027f0bca1a8671d0fd9971c57d449b2,K.Maro - Femme Like U (Clip officiel),2004
8,Alain Souchon,Foule sentimentale,https://www.youtube.com/watch?v=V_SNDGwwGFM,0b909c70805d3c142f8ac47acfcc31d0e17beaaadad897e4cbbd6e131224f60a,Alain Souchon - Foule sentimentale (Clip officiel),1993
9,Axelle Red,Sensualité,https://www.youtube.com/watch?v=iXKkxZ7U-lo,24a0bb4a99cd455e670d401ff456d5b5677a318b93dc846fd9ad3ac67c018eac,Axelle Red - Sensualité (Clip Officiel),1993
10,Thelma Houston,Don't Leave Me This Way,https://www.youtube.com/watch?v=rUdw7V-FC_Q,f168a443fe058bb2d39cff030657bb0cd5406dfc8da7e22848cde7c03cd81210,Don't Leave Me This Way,1976
11,The Beatles,Get Back,https://www.youtube.com/watch?v=IKJqecxswCA,b12dd7b6e9220731f1f15d62178c054e03b47fcca77a7aa1735479080fe5a824,Get Back (Remastered 2009),1969
12,Alain Bashung,Osez Joséphine,https://www.youtube.com/watch?v=MaIDRUp2Luo,80b11b6c8cdb1695baabd63841f06c1517b1a5a7805a54a9b58e9cf04b591c6f,Alain Bashung - Osez Joséphine,1991
13,Jeanne Mas,En rouge et noir,https://www.youtube.com/watch?v=OplDIhyp31Y,fe8e11aa76aac2c0d131c19e7d3bfc0db1e736d74fbb862cb8f5e24d5b5f8a9e,Jeanne Mas - En rouge et noir (Clip officiel),1986
14,Francis Lalanne,On se retrouvera,https://www.youtube.com/watch?v=yuvZQaPDbuA,5b22040f63bf04433d9ad9fe0a10a0a91fed822e49b9322e4a495019cdfaf4d0,Francis Lalanne - On se retrouvera (1986 - Clip Officiel HD),1986
15,Youssou N'Dour et Neneh Cherry,7 Seconds,https://www.youtube.com/watch?v=wqCpjFMvz-k,5704aa245862f8e81bb08b2bfb571f5595cab4a594a43c2758b2456acab64789,Youssou N'Dour - 7 Seconds ft. Neneh Cherry,1994
16,Alicia Keys,No One,https://www.youtube.com/watch?v=rywUS-ohqeE,9bf34f95419ac6f733d3f2ffda9d0773f7e78c63b179ad776f11bfef931e40f4,Alicia Keys - No One (Official Music Video),2007
17,Peter et Sloane,"Besoin de tien, envie de toi",https://www.youtube.com/watch?v=Jy21qtn9zCg,8ccf76756c2248adfb2715b432498fb56517f5bf4f9d84bdf40e72df32249ca5,"Peter & Sloane - Besoin de rien, envie de toi",1984
18,Vanille Ice,Ice Ice Baby,https://www.youtube.com/watch?v=rog8ou-ZepE,16415a1a9c3ba4beccefdba33e9bd6b8c78a728e47c0e7360d586c0dd9431e68,Vanilla Ice - Ice Ice Baby (Official Music Video),1990
19,Eddy de Pretto,Fête de trop,https://www.youtube.com/watch?v=iA5UBqaJiVQ,8b2ef2df863d309a134cccfe792058de42fb808844b9a0f3e1ff99d8fabcc516,Eddy de Pretto - Fête de trop (Clip Officiel),2017
20,Sam Cooke,(What A) Wonderful World,https://www.youtube.com/watch?v=R4GLAKEjU4w,91124220bb99da989fc572f9c5a3e6ee3b6c7049138b4d3d86d9719dfbe53b69,Sam Cooke - What A Wonderful World (Official Lyric Video),1960
21,Damso,O. Macarena,https://www.youtube.com/watch?v=GGhKPm18E48,2cc42668ee037159529d48992e98305d3c08341f27e6119eb2fec92e1f882022,Damso - Θ. Macarena (Clip Officiel),2017
22,OneRepublic,Counting Stars,https://www.youtube.com/watch?v=mgT0N3tMP74,3c1f45a7054812087f8eb2be1d2be432508969ff172d5f9f82f93637684f519f,OneRepublic - Counting Stars (Lyrics),2013
23,Eddy Mitchell,Be Bop A Lula,https://www.youtube.com/watch?v=uFAtHUE7IOM,b58006c7a9927975e05f62816eda08353d29a47ff1880fa9d9d4f048eb27f425,Eddy Mitchell - Be Bop A Lula 1963,1961
24,Youssoupha et Ayna,On se connaît,https://www.youtube.com/watch?v=Aq1PsFGssOg,473bf460a370ac4a184328e36f872200428763454ba775ba858b5b6553de1ae5,Youssoupha ft Ayna - On se connaît (Clip Officiel),2012
25,Mark Morrison,Return Of The Mack,https://www.youtube.com/watch?v=uB1D9wWxd2w,b93e7b07f34c8bec8f02fc4548abc643a22ad6e150ecc7638f2b7205dfb54981,Mark Morrison - Return of the Mack (Official Music Video),1996
26,Natalie Imbruglia,Torn,https://www.youtube.com/watch?v=VV1XWJN3nJo,9554dbb66651062b6373814367c59d3dc41239309865b5a07694a06df49178b0,Natalie Imbruglia - Torn (Official Video),1997
27,Soprano,En feu,https://www.youtube.com/watch?v=iUCJhD_2zmA,22552ba88070d0731de29a5f4778b662cbfa35875431b2fa87f6ea2f645e77c4,Soprano - En feu (Clip officiel),2016
28,Eurythmics,Sweet Dreams (Are Made Of This),https://www.youtube.com/watch?v=qeMFqkcPYcg,23a5acbbee8a4393a5085c3bfe5daaabfe5f079e40a538048b2cde7eb2e2cbb0,"Eurythmics, Annie Lennox, Dave Stewart - Sweet Dreams (Are Made Of This) (Official Video)",1983
29,Kanye West et Jamie Foxx,Gold Digger,https://www.youtube.com/watch?v=IzT-8vmuKXo,cca5aee03203d0a4cd7809b047286b61b9d44d0321c41a0b02b50c03b46d68fa,"Kanye West, Jamie Foxx - Gold Digger (Lyrics)",2005
30,Chicago,If You Leave Me Now,https://www.youtube.com/watch?v=-9_d-sFhmRM,1eabc29ea89ef03c558e4220ba9e799eed808640ca4bd8f01c0e87e47398aaad,Chicago - If You Leave Me Now (Official Audio),1976
31,Jason Derulo,Whatcha Say,https://www.youtube.com/watch?v=Q0oH3MumH0A,17d1e98554d6e6e0032349555dfc04a825482db75ef5bceee0e2d11b34791860,Jason Derulo - Whatcha Say | Lyrics,2009
32,Pierre Perret,Les jolies colonies de vacances,https://www.youtube.com/watch?v=oeCM3V2lqfw,1f3380ce94d01dbe5fcde1363d9dd7c8deed7276da2523ffb8540f1fba4efae7,Pierre Perret - Les jolies colonies de vacances,1966
33,Rick James,Super Freak,https://www.youtube.com/watch?v=QYHxGBH6o4M,79b5de8ac0a274d692d8dcc821f51caccb0521bf7d0eff686feb25eb7c435575,Rick James - Super Freak (Official Music Video),1981
34,Dave,Vanina,https://www.youtube.com/watch?v=DHszVIYdESM,b6a116cdd0a74e3f3ecd53468ae264ee219a33e379d70cc31aa0c5a257ed068d,Dave - Vanina (1975),1974
35,Michel Fugain et Le Big Bazar,Attention mesdames et messieurs,https://www.youtube.com/watch?v=M_iMFQTchv8,abc03b5170fcf18582f0b0a98981f3b596f3a950cf42de1477c2b39a76708750,"Michel Fugain et le Big Bazar ""Attention Mesdames et Messieurs"" | Archive INA",1972
36,The Human League,Don't You Want Me,https://www.youtube.com/watch?v=uPudE8nDog0,56b68d511f79803835481bfc89221ade5e326bfa0b430dca9dd3de4270d411e8,The Human League - Don't You Want Me (Official Music Video),1981
37,Roch Voisine,Hélène,https://www.youtube.com/watch?v=SDipM1y1DC8,f43f3909df24a7afbafec86dfea15ca6861891912f20befe5a05d2325a9199d6,Roch Voisine - Hélène (1989),1989
38,Indochine,L'aventurier,https://www.youtube.com/watch?v=M7X6oYg6iro,553082972f26d6d83fdd94afdd24e476bed03f1627fee5833595c8c7d531fe73,Indochine - L'aventurier (Clip officiel),1982
39,Rick Astley,Never Gonna Give You Up,https://www.youtube.com/watch?v=dQw4w9WgXcQ,ea6432992331a13184e0de40254b4992a133dcca7f4adf8831759fbc99d89bba,Rick Astley - Never Gonna Give You Up (Official Music Video),1987
40,Harry Styles,Adore You,https://www.youtube.com/watch?v=VF-r5TtlT9w,e8998222d714f357acdc31576f39d67fd75abadb09cbb77de430365a3ea21ec1,Harry Styles - Adore You (Official Video),2019
41,Wet Wet Wet,Love Is All Around,https://www.youtube.com/watch?v=h3gEkwhdXUE,9f0eb5d23c7180176c8a5657d25f3b14a0475dff791c9440a3964462c4e329b1,Wet Wet Wet - Love Is All Around,1994
42,Sinéad O'Connor,Nothing Compares 2 U,https://www.youtube.com/watch?v=0-EF60neguk,a4f66fd8794f3c92ed8358f839f112cddb139fdba8084fe93df263f2a9a3a0ec,Sinéad O'Connor - Nothing Compares 2 U (Official Music Video) [HD],1990
43,Téléphone,Cendrillon,https://www.youtube.com/watch?v=_tHbSMQeCdk,f26747840725a8a1c7fdd775c50200bdfb6eb9660f70dbeefd229d2e0ace3d8e,TELEPHONE - Cendrillon (Audio officiel),1982
44,Tom Jones et Mousse T.,Sex Bomb,https://www.youtube.com/watch?v=WZ32gSLNHfA,ae7c072748ece78044890fab28bb2e1729e3d55ff6fe59233ba9853a07cbd2dd,Tom Jones & Mousse T  - Sexbomb (Official Music Video),1999
45,The Supremes,You Can't Hurry Love,https://www.youtube.com/watch?v=ovoBi3pXD_A,72acdca6599a599ba039ad3a4e0b6d9cbbbac67ac4ee9d0ca68674a9ab79c92b,The Supremes - You Can't Hurry Love (Lyric Video),1966
46,Patrick Sébastien,Les sardines,https://www.youtube.com/watch?v=PA3P1-aSvKQ,5fc4fd18930d64472c539b055fcdab98b8cde7487614fdefca8d5131168dad80,Les sardines - Patrick Sébastien,2006
47,Dolly Parton,Jolene,https://www.youtube.com/watch?v=Ixrje2rXLMA,280999dd31c616447d892337cceb0ec01988f74f8414a3c96a55a55815493648,Dolly Parton - Jolene (Audio),1973
48,Larusso,Tu m'oublieras,https://www.youtube.com/watch?v=PhhlsC1q4TU,bb29abc54a2f014c81f3678a3b818b980484f02c7b622210ece5829284741787,Larusso - Tu m'oublieras (Clip officiel),1998
49,Patrick Bruel,Casset la voix,https://www.youtube.com/watch?v=r-951A8fuoU,bb2347ceea3dd0c6b8cae33c75d43c0b7cefedca5600359a76151cb9fa2a5d28,Patrick Bruel - Casser la voix (Audio),1989
50,Superbus,Butterfly,https://www.youtube.com/watch?v=CQPNj38WscM,314e3d2210e28d7ebd9a26a82e81eb902359000c587e49ec1bd0bd1981942d3a,Superbus - Butterfly,2006
51,Joseito Fernandez,Guajira Guantanamera,https://www.youtube.com/watch?v=craeb9A7MQ8,f3162e9228341051b4818f7c38f1d19435a7f1225a068eccba9f450e5471c2cc,Joseito Fernandez Guantanamera HQ,1929
52,Lomepal,Trop beau,https://www.youtube.com/watch?v=o8wpucx7W8M,e6e12274b97afe476a409ed7f5c863ae23b80f8187201655593358d7d3cbeef5,Lomepal - Trop beau (lyrics video),2018
53,Jessie J et B.O.B.,Price Tag,https://www.youtube.com/watch?v=qMxX-QOV9tI,5345f48b25f516529c3d567e59c8278a418c3f5cc15c2d6f7b26adf089cb215d,Jessie J - Price Tag ft. B.o.B,2011
54,Sylvester,You Make Me Feel (Mighty Real),https://www.youtube.com/watch?v=gD6cPE2BHic,342aeb52712976eff0c0c8216e4bb5ebc85c698f9c61dcfb245ca2dbe0f37a1d,Sylvester - You Make Me Feel (Mighty Real),1978
55,Jacques Dutronc,"Il est cinq heures, Paris s'éveille",https://www.youtube.com/watch?v=3WcCg6rm3uM,8116c6df0d72a40c622a98bd58b5db58cddabb98339312f4281f30c16687aa69,"Jacques Dutronc ""Il est cinq heures Paris s'éveille"" | Archive INA",1968
56,Kelly Clarkson,Because Of You,https://www.youtube.com/watch?v=9SAh14Kt4n8,6399009bf78f0c8cf37bc99aad436975eb1581231eb1712fe37860fcbfe8d085,Kelly Clarkson - Because Of You (Lyrics),2005
57,2 Be 3,Partir un jour,https://www.youtube.com/watch?v=Oh0Dqp8AzL0,a2de88650e8aafcb2ddd2ef645abb547ba6fc8f9bb807e0e0f7422e2465a5f22,2 BE 3 - Partir un jour (Clip officiel),1997
58,Pharell Williams,Happy,https://www.youtube.com/watch?v=ZbZSe6N_BXs,7878bf7cbe23768f8a8f4b541acdee6f6a9edf95f761e3839b03082897a9d4fc,Pharrell Williams - Happy (Video),2013
59,Christina Aguilera,Genie In A Bottle,https://www.youtube.com/watch?v=kIDWgqDBNXA,cc8aedb31c217d8fb7de7985e4f5de12c1d6a6a96ee99a186d02eea8dfc0aab0,Christina Aguilera - Genie In A Bottle (Official Video),1999
60,Meghan Trainor,All About That Bass,https://www.youtube.com/watch?v=7PCkvCPvDXk,f5a42a284d5a2121e0c0b984a2a74622cbc0cad3a5786344080f9aa556b441f6,Meghan Trainor - All About That Bass (Official Video),2014
