Card#,Artist,Title,Year,URL,Youtube-Title,Hashed Info
1,Billy Joel,Uptown Girl,1983,https://www.youtube.com/watch?v=H6M0EulApMM,Uptown Girl,d4f64fa1274940c1b2f011c5e310d3933196a8cdec3c3376b5fad93aaaad12f7
2,Scatman John,Scatman (Ski-Ba-Bop-Ba-Dop-Bop),1995,https://www.youtube.com/watch?v=VnULE-d14TA,Scatman (Ski-Ba-Bop-Ba-Dop-Bop),c8bdac5b91c454dbf1c03563961c1bb26009f8ad2df9afde3b4a49bbeb26b316
3,The B-52's,Love Shack,1989,https://www.youtube.com/watch?v=7puAydZ5Fbo,Love Shack (Edit) (2019 Remaster),a4df4ee10c222b19b526cc62bc94ed4100cb73f9dbf5712e6b659ae69f167797
4,Omega,Nem tudom a neved,1974,https://www.youtube.com/watch?v=X-cEwyJ0ULc,Nem tudom a neved,24da241292e2f2423d968130edd6ace409b168aa301c74ff14812e47bc65eb12
5,Black Eyed Peas and J Balvin,Ritmo,2019,https://www.youtube.com/watch?v=nKGJ_7WBREU,RITMO (Bad Boys For Life),837cc4a77675cf919f3ee3c3bf8b36875b6fa9d591f4dde58703da493191468c
6,Imagine Dragons,Believer,2017,https://www.youtube.com/watch?v=doTaxdlF9Zs,Believer,8fcc2c6209867dd25483f40989ff94243bd09efb8ad4dfaf66672a379f052780
7,The Killers,Human,2008,https://www.youtube.com/watch?v=bRXTMuH2WVc,Human,62d597282b0e3049646eeaef9b55cf75ae017562c54c6997d907c002e4eb37b9
8,Soho Party,Az éjjel soha nem érhet véget,1998,https://www.youtube.com/watch?v=x5r5wyxVVv4,Az Éjjel Soha Nem Ér Véget,f6b72494d67838a8a8caa49c02f2006f62a479b77339332c8797b47579e2f615
9,Britney Spears,Baby One More Time,1998,https://www.youtube.com/watch?v=fEfvTTJNeAY,... Baby One More Time,21f6575099eda81555a4c6d50b804032231b81350c4098e78b88c97e71996f59
10,KFT,Afrika,1984,https://www.youtube.com/watch?v=Sl2Gr_rMVWw,Afrika,24d29cb41b2bbea1d5eecdf5be2e85a503c4d14223e260f54969245e195b2d9a
11,Máté Péter,Egy darabot a szívemből,1979,https://www.youtube.com/watch?v=CSlP38uGQ4g,Egy darabot a szívemből,8d7d011adefeb2ce1093c7820f3cc925d5d9f7274b70e8f38df2d3b3b74a717a
12,Carpe Diem,Álomhajó,1997,https://www.youtube.com/watch?v=pJjwLnuxAEg,Álomhajó,ef08ca994509c6adaf99094e1da7715be8149996c0dcd8dd6f1ee1bb6778e608
13,Robin S.,Show Me Love,1992,https://www.youtube.com/watch?v=LWDQxZE4dBs,Show Me Love (Extended Mix),cf70d14524c2b64f6eb87f70514cf6f0873e040197ff58cb103dcd7dcf3aa3e0
14,Inner Circle,Sweat (A La La La La Song),1992,https://www.youtube.com/watch?v=AdIer7rKyq0,Sweat (A La La La La Long),c090f52e4a3d1e4d5a73e1ee3e45907b4a14e731b0a0d8b220f063a6bbbf02a0
15,United,Hófehér jaguár,1999,https://www.youtube.com/watch?v=v6Z5HzbMC2Q,Hófehér Jaguár (Radio Edit),4216844037af0c9671b273a6c6bf8847298b83eb9ef090e3bdf87907f5624b25
16,David Guetta & Sia,Titanium,2011,https://www.youtube.com/watch?v=UG_pMlxnGFw,Titanium (feat. Sia),188525fa64de36a90efba513c3e4d52053b50502a639b785e233f3f92cca9a9b
17,Pokolgép,Adj új erőt,1991,https://www.youtube.com/watch?v=fKMZctAxwWA,Pokolgép - Adj új erőt,680dc88372ee747f4ec613d4ad6b0aa3ccdee778826f50bb1ed94fb2bee1b676
18,Mr. President,Coco Jamboo,1996,https://www.youtube.com/watch?v=_Jl-QpJNKiQ,Coco Jamboo,2fe9c44cdffc2283e6b7cf82e64cec92a6cc71cd5c0cc54ed9d1b1681232acc8
19,Ava Max,Kings & Queens,2020,https://www.youtube.com/watch?v=Gy_ExjhjA-4,Kings & Queens,89affe221c169bb4cc5497b898fa16390c006d9298858ac0abb18846b7817651
20,Stealers Wheel,Stuck in the Middle with You,1973,https://www.youtube.com/watch?v=ln7Vn_WKkWU,Stuck In The Middle With You,cbc87da8c637a6500cba50ae689a9a0d479efc9ce263a865e6dd49b7a0dcc408
21,The Weeknd,Save Your Tears,2019,https://www.youtube.com/watch?v=RmYCOm4ehKs,Save Your Tears,e3aeaffe018fcbe946f19714f3be892dd605b130f1e3ee01430416d4198d2971
22,Shawn Mendes,There's Nothing Holding Me Back,2017,https://www.youtube.com/watch?v=Ztdc7TcPdAA,There's Nothing Holdin' Me Back,b91385c1a2d94f63995a38e542a632e43dadf404e1f03f8110971ad7dd956bc6
23,Vincze Viktória,Hány éjjel vártam,1974,https://www.youtube.com/watch?v=ES95TXXStPg,Hány éjjel vártam,20725d735eb025c0ab714add033bddf1e35415dfadc95ce57bf255588779c210
24,Felső Tízezer,Süllyedő hajó,2015,https://www.youtube.com/watch?v=2tT2tE0CSv4,Süllyedő hajó,facc85be726cbe644846fb7ce3433960ae35beb1f8c5296d32a5319062ff9a0c
25,N-Sync,"Bye, Bye, Bye",2000,https://www.youtube.com/watch?v=VsUrajziFRc,Bye Bye Bye,9399724b1853c727b195925f0efb1d99673022bbef47b9dbe7d6a8dcdfa48c7d
26,Kylie Minogue,Can't Get You Out Of My Head,2001,https://www.youtube.com/watch?v=uYANAvwvPBg,Can't Get You out of My Head,3cf02445ac2cbf907ac0bd7c2ab895856019b696137994a77eb95642b8cfaaf7
27,Bagossy Brothers,Olyan Ő,2019,https://www.youtube.com/watch?v=cNQOeTxp6us,Olyan Ő,ccac349a9f1d53ba10400c28d60cfe73b6a9a12b209db04f786a237ca78c9ac6
28,Beatrice,8 óra munka,1990,https://www.youtube.com/watch?v=PzuDJXP1Too,8 óra munka,381b3eb62907109df65c749f9c77f3f35d30436064cd85bfccb80632180f35d2
29,Kesha,TiK ToK,2009,https://www.youtube.com/watch?v=u5uSlUKBEDc,TiK ToK,58c8bbbe84e5268681b46c63a53163a11ee11705d1cf244f4a6f377cef3a2db3
30,Mike Oldfield,Moonlight Shadow,1983,https://www.youtube.com/watch?v=9uYF95jR_ME,Moonlight Shadow (Remastered 2013),f0760e0c9f3afc8f5ba22fb65dbeba35a59c693205ecd62bcf5003d2a9d7c4f3
31,Anti Fitness Club,Mennyország,2012,https://www.youtube.com/watch?v=mXjDQzTe7LE,Mennyország,75c04be0a5f892ab4652445631cbf92d6e20c14dad1131a06887a27cfae8dc5e
32,Ihász Gábor,Elszáll a gondom,1977,https://www.youtube.com/watch?v=FQAKdInhEhg,Ihász Gábor: Elszáll a gondom,268a8b1d47376a032d903dda8afa4566739c0dceaac81acdc8272ac4f84ef3f1
33,Midnight Oil,Beds Are Burning,1987,https://www.youtube.com/watch?v=zNW2XkvaL6U,Beds Are Burning (Remastered),39f763cb84d4aa8ba42b247f4ccabe2c4f7c13c9c58a4000624885b85429b2ad
34,Bonnie Tyler,Total Eclipse Of The Heart,1983,https://www.youtube.com/watch?v=fSeFxzeo5Ts,Total Eclipse of the Heart,1fa3c5b59249e36c55564f5ba206e28ede61eaa751dafb424d37872fe8c4ebbe
35,Neoton Família,Kétszázhúsz felett,1981,https://www.youtube.com/watch?v=7fzGqMhvF2E,Kétszázhúsz felett,afc7be89e6306678cb6f918221faf1a7d02e590eed2242de675e579a91ba9253
36,Beatrice,"Azok a boldog, szép napok",1988,https://www.youtube.com/watch?v=ryaePVNhb-U,"Azok a boldog, szép napok",51014bd2182f42d2240c8ec2473db68160aecf5483aa31bb802d46ed1ee8201f
37,UFO,Szerelemdoktor,1996,https://www.youtube.com/watch?v=ozjpolYtKJ0,Szerelemdoktor,d1934e15b581c2adb3065098bcb3b16c175c3e70b87aec262f7f66cc66aacdc3
38,Robert Palmer,Simple Irresistible,1988,https://www.youtube.com/watch?v=arrDCLdMqvg,Simply Irresistible,19dd7d79150f1eb1d0857bc75cce584fb2b38f4577bd158aa7c7b6c023544689
39,Carl Douglas,Kung Fu Fighting,1974,https://www.youtube.com/watch?v=it3E6vtExSE,Kung Fu Fighting,6d6b6daf56eed0a1d28aa3bc4e8dd7d97495731edc3f96b7a1be0694fbfe9f00
40,Follow The Flow,Tavasz,2021,https://www.youtube.com/watch?v=IDunlA6T8qk,Tavasz,fad02a9ec51f91d117d67e8131b9b4f22209487886f512526cd570be707ffef3
41,Smash Mouth,All Star,1999,https://www.youtube.com/watch?v=8ay_BkRuv-o,All Star,8c9bb0801d20637de51384babc670fd2dd6cf10bc6166a98fa85e17b750ff4b3
42,Császár Előd,Tiltott szerelem,1996,https://www.youtube.com/watch?v=ZZ2kPES2ij8,Tiltott szerelem (Original Mix),c82b17a44518614b64dbd9f1a698f193b9c1ff870b8f34985387cc75a1baa5a9
43,Bikini,Közeli helyeken,1989,https://www.youtube.com/watch?v=jsg9hNOYdf0,Közeli helyeken,28435a96fd88da839f323bc04fe20c7f2d3cb55121ab4a40218a55077b628122
44,Daddy Yankee,Gasolina,2004,https://www.youtube.com/watch?v=GJP9ZTsgxJs,Daddy Yankee - Gasolina,22a487a0979f925f4ca09bbd3dd219d4b4acde83dc28999479202c4eb70cd3e0
45,Baccara,"Yes Sir, I Can Boogie",1977,https://www.youtube.com/watch?v=cakuOGmna7I,"Yes Sir, I Can Boogie",c5d138a42a7dab9fb35c3ddf59516a94f03df2a460bf48d00bc2a4b15902f19f
46,Taio Cruz,Dynamite,2010,https://www.youtube.com/watch?v=3MrY_BwLChk,Dynamite,a2b8481d052de6d691644b76ec57b0d8f7b72097c86254d95dfdf8e1dc4e80ca
