Card#,Artist,Title,Year,URL,Youtube-Title,Hashed Info
1,Barry White,"You're The First, The Last, My Everything",1974,https://www.youtube.com/watch?v=E7zmRvhFEYo,"You're The First, The Last, My Everything",3303b0bfce1e69370892a0866ae31dcf55e79bdc4a7182c24c18b3025bfe14b8
2,Cindy Lauper,True Colors,1986,https://www.youtube.com/watch?v=2ecaYj14z3M,Cyndi Lauper - True Colors (Official Lyric Video),e5e9c1d41d6e4f6d696a06bf6a6c5332282d39a94749caeeac84c9c0f9e50119
3,Meat Loaf,Paradise By The Dashboard Light,1978,https://www.youtube.com/watch?v=C11MzbEcHlw,Meat Loaf - Paradise By The Dashboard Light,10aa8dcac3ab5738f16007e213a5330e1c5bd332508d598c9918212fa3113452
4,Peter Koelewijn en Zijn Rockets,Kom van dat dak af,1960,https://www.youtube.com/watch?v=goxjpttRito,Peter & zijn Rockets   Kom Van Dat Dak Af1960,9cbcdaf08f6c6b5058603da1a3a6bac8ee1f153fe4cadd43769851b0cc7cf630
5,Nielson,Sexy Als Ik Dans,2014,https://www.youtube.com/watch?v=3Jkiaw4wcLA,Nielson - Sexy als ik dans,e7e389aa3d2d1a01c7de45c7ea02f8c995ffa1ebc51411841e3382c815ed36f1
6,Taio Cruz,Hangover,2011,https://www.youtube.com/watch?v=hToYLtkLwlw,Hangover,6be00441ec820eb68a6fd14e0bc415f4d381492797de89479542e46a31c76003
7,Daft Punk,One More Time,2000,https://www.youtube.com/watch?v=A2VpR8HahKc,Daft Punk - One More Time (Official Audio),0cc5749b1c2c84b9813cb17537de587bc677a204cd434370dff6b9635bd231c8
8,Gipsy Kings,Volare (Nel Blu Di Pinto Di Blu),1989,https://www.youtube.com/watch?v=X8TOhb_4jU0,Gipsy Kings - Volare (Nel Blu di Pinto di Blu) (Official HD Video),9ce3db1bfeb26833f296d4b2ecce7a8fc32227d71fbe21d0f20bdefb23a08a15
9,Kaoma,Lambada,1989,https://www.youtube.com/watch?v=iyLdoQGBchQ,Kaoma - Lambada (Official Video) 1989 HD,1e2a5209d82e86adec26543755857b74204ec1168380705266e44b23765b6ff2
10,Bob Marley & The Wailers,No Woman No Cry,1974,https://www.youtube.com/watch?v=pHlSE9j5FGY,Bob Marley - No Women No Cry (Original),5f19d9b281f9f139f5c919a87163a8e8098176ca24ac4c832f78d99920c5f010
11,Emma Franklin,Piece Of My Heart,1967,https://www.youtube.com/watch?v=L0QAxIKf8G4,Erma Franklin - Piece of My Heart (Video),7d5674fc951c76a69d0c374d68621127336d115c2a7a39c201f8a842f4c31344
12,Guns n' Roses,Sweet Child O' Mine,1987,https://www.youtube.com/watch?v=oMfMUfgjiLg,Sweet Child O' Mine,d1756dc70288866e1984c58bbb0348e1b6d2863b4d6496db796821bd03c373b9
13,Eurythmics,Sweet Dreams (Are Made of This),1983,https://www.youtube.com/watch?v=eRhg7qPLeN8,Sweet Dreams (Are Made of This) (2005 Remaster),9632d17980e82844dbd423b864015739bbf563749f438dd62a1783fc0b726fd9
14,Doe Maar,1 Nacht Alleen,1983,https://www.youtube.com/watch?v=C1dCWu8LSCM,Doe Maar - 1 nacht alleen (1983),c14a9632620ceefbe3b0d48b66e016a4711abd7641525620a81bcd66cbb54e40
15,Sinéad O'Connor,Nothing Compares 2 U,1990,https://www.youtube.com/watch?v=0-EF60neguk,Sinéad O'Connor - Nothing Compares 2 U (Official Music Video) [HD],a4f66fd8794f3c92ed8358f839f112cddb139fdba8084fe93df263f2a9a3a0ec
16,Beyoncé (feat. Jay-Z),Crazy In Love,2003,https://www.youtube.com/watch?v=ViwtNLUqkMY,Beyoncé - Crazy In Love ft. JAY Z,7e31969c34b63b85fb7182b566979e0b79d5d17ef946556e31841e166e6bd500
17,Rick James,Super Freak,1981,https://www.youtube.com/watch?v=wnKc4zi0MLA,Super Freak,b65573ba23c83b05a53e93c7bb853304405f3a1384ede381799791111500dbf7
18,De Dijk,Mag Het Licht Uit,1987,https://www.youtube.com/watch?v=WNfq4cRCuK4,De Dijk - Mag het licht uit,b22a3476e330a11b3e697fb68917df7717036ef5e8b497d40568a4a6deb138ba
19,Sia,Cheap Thrills,2015,https://www.youtube.com/watch?v=31crA53Dgu0,Sia - Cheap Thrills (Performance Edit),e26a26114d3a7f397cdfa2184f35fad1ab7f7c6cad932170028da29665f73934
20,The Platters,Smoke Gets In Your Eyes,1958,https://www.youtube.com/watch?v=H2di83WAOhU,The Platters - Smoke Gets In Your Eyes,807b33359e539d64af40ceade6b40f861b74bfeb5bfbea0c976b4ff68ef957ca
21,Lukas Graham,7 Years,2015,https://www.youtube.com/watch?v=LHCob76kigA,Lukas Graham - 7 Years [Official Music Video],24ecf1fc202432d33e74a711b7baa1a1a8f5c5a24003f15fbdff90b4f2771cae
22,Lorde,Royals,2012,https://www.youtube.com/watch?v=nlcIKh6sBtc,Lorde - Royals (US Version),e4c9b66057e248f5b33a4872bd6e6fabfdc1cc893543037f5a12cd1abada3424
23,Jacques Brel,Marieke,1961,https://www.youtube.com/watch?v=Trm7XgbeTFI,Marieke,2d039dd104c43a86544bac2cef12f17526407ab56842ed2569e4b1031595fb01
24,Laura Jansen,Wicked World,2010,https://www.youtube.com/watch?v=y3vybPClCCk,Laura Jansen - Wicked World,d833f69ef1591a1abfd48f25c090e9fb1913f9cf8bdb3afabf4c0e609a58ac53
25,2 Unlimited,No Limit,1993,https://www.youtube.com/watch?v=r6FVk2k4qsM,2 Unlimited - No Limit (Rap Version) (Official Music Video),07f061ec6870f9311b4b4d72b5d949ccb62a06d1e8c61792809ecac46c411472
26,The Cranberries,Zombie,1994,https://www.youtube.com/watch?v=8sM-rm4lFZg,Zombie - The Cranberries (Lyrics) 🎵,88ca0e4f66be807932f0a51348a8e36831d36649bddf70f2122d10c84752b008
27,Alessia Cara,Scars To Your Beautiful,2016,https://www.youtube.com/watch?v=MWASeaYuHZo,Alessia Cara - Scars To Your Beautiful (Official Video),2972fdb326c1a2fce335a55526825d257cb2fcfdd7eaea595fe86ca108efde3a
28,Rupert Holmes,Escape (The Piña Colada Song),1979,https://www.youtube.com/watch?v=FXG_I_tf_i4,Escape (The Pina Colada Song),937e8c54c029d4676dbf1910a07eb9ffec7f34a3a0ba99ff449384719c6335ca
29,Enya,Orinoco Flow,1988,https://www.youtube.com/watch?v=LTrk4X9ACtw,Enya - Orinoco Flow (Official 4K Music Video),49fae4bfea7dded4e75dfa09280423e3da4e6a18f11aeabc4da10d68ec8ed594
30,ABBA,Waterloo,1974,https://www.youtube.com/watch?v=Sj_9CiNkkn4,ABBA - Waterloo (Official Music Video),c646d8b8ee151cfc64a3035caf9e94a1cadfd70ce317c6edf68ff3cec415506d
31,Bob Sinclair (feat. Steve Edwards),"World, Hold On (Children Of The Sky)",2006,https://www.youtube.com/watch?v=XpdpW0z9xnQ,Bob Sinclar - World Hold On (Official HD Video),75b36c8feb13bf8f15a35ca2277903f25791e5a27f91b4e25d4376d19cf9a1c7
32,James Brown,I Got You (I Feel Good),1965,https://www.youtube.com/watch?v=pTdihu-mp90,James Brown - I Got You (I Feel Good) (Visualizer),af2e267a8f2475fb0278196a159630d2ab4f4b49f7f4144cf3612a2bc05351e7
33,Normaal,Oerend Hard,1977,https://www.youtube.com/watch?v=yKRR-EUsOD8,Normaal - Oerend Hard • TopPop,138bda78fc5b7f54d689e082739a2cecf417dbce5d28c85182ec618d99e51d74
34,Billy Joel,Piano Man,1973,https://www.youtube.com/watch?v=QwVjTlTdIDQ,Billy Joel - Piano Man (Official Audio),ab9d70371edbce0c5cda892098485b63134f7f19a0b5cd03c784cba3b2af9c86
35,The Beatles,Get Back,1969,https://www.youtube.com/watch?v=IKJqecxswCA,Get Back (Remastered 2009),b12dd7b6e9220731f1f15d62178c054e03b47fcca77a7aa1735479080fe5a824
36,Plastic Bertrand,Ca plane pour moi,1977,https://www.youtube.com/watch?v=8soQkubMk1g,Plastic Bertrand  - Ça plane pour moi (Official Audio),4baa33a01c8b3eead7250993c318c6262c4765ef01b3915e8397af4d7919cd71
37,Lionel Richie,Dancing On The Ceiling,1986,https://www.youtube.com/watch?v=ovo6zwv6DX4,Lionel Richie - Dancing On The Ceiling,8af330205e51cfe7b5ac16b184ea2eb1664ddd7cacb2da579a78fae713202f7f
