Title,Artist,Album,URL,Card#,Year,Youtube-Title,Hashed Info
Poison,Alice Cooper,Trash,https://www.youtube.com/watch?v=Qq4j1LtCdww,854,1989,Alice Cooper - Poison,1dec2b4bb0f6f08ccd07aaf52582988f01400a58da4a3fd0b9a272bafa064a97
Best Day Of My Life,American Authors,"Oh, What A Life",https://www.youtube.com/watch?v=Y66j_BUCBMY,703,2013,American Authors - Best Day Of My Life,6ee33ee58e1f9ea97ef52cac3f92415de54d3152ba9a55104049c2e7b1c067ce
Puhelinlangat laulaa,Katri Helena,Vaalea valloittaja,https://www.youtube.com/watch?v=dt16foNcXao,1073,1964,Puhelinlangat laulaa,4ca7e27e26ef414e36089c32a6d7d7f70998f0c6f8bbf42261102f89614ff579
Pump Up The Jam,Technotronic,Pump Up The Jam,https://www.youtube.com/watch?v=9EcjWd-O4jI,229,1989,Technotronic - Pump Up The Jam (Official Music Video),e29aa4bfd6dbcdc4a2466fe33fd86372c55db4dcca4e5384b92bec8258e641d1
Creep,Radiohead,Pablo Honey,https://www.youtube.com/watch?v=XFkzRNyygfk,593,1992,Radiohead - Creep,29293c2d2ace7c588cd306a12ecc97401a6613da63a2c111f82cc389971c65b4
Kesäkatu,Danny,Dannyn parhaita,https://www.youtube.com/watch?v=Jn_JKefqh84,1074,1966,Kesäkatu,b2088336ccf36b5d4079d91c0b789640a99500832819963a2d5d4fdaefba2f9a
Something Just Like This,The Chainsmokers,Something Just Like This,https://www.youtube.com/watch?v=FM7MFYoylVs,872,2017,The Chainsmokers & Coldplay - Something Just Like This (Lyric),15313f3f09ccf9f00c79c25cb1e6b6fe8fe12af0388879eb69c07634324c2bbe
Krokotiili rock,Muska,Muska,https://www.youtube.com/watch?v=v_-VKCsD3nk,1078,1973,Krokotiili rock,ada747e6e27164e18f516d6bf49d7c5b326524d50f55825698bdf4ae7d2994c2
Marilyn,Juice Leskinen,Juice Leskinen & Coitus Int,https://www.youtube.com/watch?v=qv6ghe74qCs,1079,1974,Marilyn,b9b51fd99009187c9b15e6662ba4ea23a70b1d93e9d3ba01dd5e98519817d37f
Get On,Hurriganes,Live at Metropol,https://www.youtube.com/watch?v=fhs0OXEQmgM,1080,1974,Get On,2a722db069c42f364a2b20b3c1bc2af4150ccebe37e97ea3ba4e1da0f52aa1f7
