Card#,Artist,Title,Year,URL,Youtube-Title,Hashed Info
1,Jim Croce,"Bad, Bad Leroy Brown",1973,https://www.youtube.com/watch?v=JzYf6qskdfA,"Bad, Bad Leroy Brown",be7afccb3d801d31918604b25f27b9eea009e21683b5b9b1cc196301d42ac1d8
2,The Waterboys,The Whole Of The Moon,1985,https://www.youtube.com/watch?v=sBW8Vnp8BzU,The Waterboys - The Whole of the Moon [Official HD Remastered Video],10feb0edbf0f448c4df269bb44692b3162417129958b21f720cd8620823a9eb5
3,Ammi Stewart,Knock On Wood,1979,https://www.youtube.com/watch?v=oLS57N4kUN0,"Knock on Wood (7"" Edit)",5ef2efbe7d8da6f7d304db48bcb3af65262f5fae132a57b7fe62ec86738d04f0
4,Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,1960,https://www.youtube.com/watch?v=ICkWjdQuK7Q,Brian Hyland - Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,d214787da324bacf083d63dae0def71fbc5aa56314366ba55c0d0d205fe97044
5,"Major Lazer, Dj Snake & Mø",Lean On,2015,https://www.youtube.com/watch?v=rn9AQoI7mYU,Major Lazer & DJ Snake - Lean On (feat. MØ) [Official Lyric Video],70d6467642193e3478ad52a0fa3904b131af042af74a8b94038d9eec25dfab74
6,P!nk (feat. Nate Ruess),Just Give Me A Reason,2012,https://www.youtube.com/watch?v=OpQFFLBMEPI,P!nk - Just Give Me A Reason ft. Nate Ruess,40299bbd43cbba7d1f76a9ba902f804af314fde714fbe5c08aad9481e72403cf
7,Shaggy,It Wasn't Me,2000,https://www.youtube.com/watch?v=U48fb7Nx1A8,Shaggy - It Wasn't Me (Lyrics) ft. Ricardo RikRok Ducent,e7e0101c6c400b7e50d9cf1a9b432ac72591e86e9105badb578d81fb3cf0bc60
8,Gipsy Kings,Volare (Nel Blu Di Pinto Di Blu),1989,https://www.youtube.com/watch?v=X8TOhb_4jU0,Gipsy Kings - Volare (Nel Blu di Pinto di Blu) (Official HD Video),9ce3db1bfeb26833f296d4b2ecce7a8fc32227d71fbe21d0f20bdefb23a08a15
9,Kaoma,Lambada,1989,https://www.youtube.com/watch?v=iyLdoQGBchQ,Kaoma - Lambada (Official Video) 1989 HD,1e2a5209d82e86adec26543755857b74204ec1168380705266e44b23765b6ff2
10,The Carpenters,Top Of The World,1973,https://www.youtube.com/watch?v=yUMAmI5YcBQ,The Carpenters -   Top Of The World   --  HQ Audio -- Lyrics,eb7e9e62a556a2e8f7c5e6ea701f8c827a9618582f03f061a1ad8db6f41fa35a
